user_id;country;sex;height;weight;age;years_cl;grades_count;grades_first;grades_last;grades_max;grades_mean;year_first;year_last
24100;USA;0;173;58;29;15;27;46;51;55;47.44444444;2008;2011
24103;POL;0;188;78;33;11;25;51;49;51;42.16;2008;2010
24111;NOR;0;177;73;44;23;28;57;38;57;46.32142857;1998;2009
24115;USA;0;182;68;26;10;34;46;58;62;49.94117647;2009;2011
24117;POL;0;186;73;27;9;177;38;53;64;50.11864407;2008;2012
24118;other;0;192;83;37;11;105;43;55;57;48.25714286;2008;2014
24128;ITA;0;183;68;35;10;126;40;44;53;42.73809524;2011;2017
24130;USA;0;180;68;28;12;17;40;38;53;43.82352941;2008;2009
24137;FRA;0;177;63;32;14;1;53;53;53;53;2008;2008
24147;USA;0;177;63;36;11;62;49;51;64;52.32258065;2009;2015
24155;ESP;0;192;93;37;9;42;36;31;40;33.16666667;2008;2010
24156;other;0;185;73;27;11;17;44;40;49;41.29411765;2008;2009
24171;other;1;170;58;28;9;8;46;51;51;48.125;2010;2011
24174;ITA;0;174;68;35;14;142;49;44;62;45.64788732;2004;2017
24175;ITA;0;180;63;39;11;67;44;59;59;48.58208955;2008;2017
24177;ESP;0;187;88;32;13;1;51;51;51;51;2011;2011
24184;POL;1;168;53;33;11;113;44;38;49;37.94690265;2008;2013
24188;HRV;0;178;73;33;9;61;40;46;59;44.04918033;2008;2017
24190;ESP;0;174;68;33;11;3;51;46;51;47;2009;2009
24193;ITA;0;176;68;26;17;89;53;62;66;56.34831461;2008;2017
24209;other;0;175;68;42;25;3;49;40;49;41.66666667;2008;2008
24215;USA;0;155;68;37;21;68;55;53;57;46.52941176;2008;2009
24218;CAN;0;179;58;54;26;16;49;29;49;35.0625;2006;2011
24221;other;0;170;58;26;10;22;46;38;46;33.86363636;2008;2011
24223;FRA;0;180;68;37;16;7;49;51;51;50;2008;2008
24228;ITA;1;165;43;22;15;3;49;42;49;44.33333333;2008;2009
24234;USA;1;170;48;37;15;113;64;55;66;55.38938053;2008;2017
24235;USA;1;153;43;30;9;9;36;46;51;41.22222222;2008;2016
24239;HRV;0;173;68;39;9;24;29;33;37;31.54166667;2008;2010
24240;ESP;0;181;73;42;18;1273;40;51;62;44.87666929;2009;2017
24242;FRA;0;175;68;43;10;394;49;62;66;52.86040609;2008;2017
24247;other;0;184;73;42;23;9;31;31;33;31.22222222;2008;2008
24248;POL;0;176;63;26;9;136;38;29;46;35.13235294;2008;2011
24259;NOR;0;183;73;44;18;318;53;49;62;49.73899371;2008;2016
24264;MEX;0;172;68;32;10;106;43;57;59;46.83962264;2007;2015
24267;ESP;0;182;73;35;21;48;49;59;62;53.25;2009;2017
24270;ITA;0;181;73;52;13;10;44;45;49;46.5;2005;2008
24272;ITA;0;185;73;37;10;82;40;50;57;44.63414634;2014;2016
24273;POL;0;184;78;31;10;671;44;64;68;52.89716841;2008;2017
24275;BRA;0;184;78;32;9;4;35;42;42;35.5;2006;2011
24281;USA;0;168;63;31;10;5;46;46;51;47.2;2010;2011
24284;ESP;1;165;63;47;12;4;33;33;38;34.25;2008;2008
24287;ESP;0;182;83;37;9;11;30;38;38;34.09090909;2008;2008
